Year,Sport,Champion
2025,Football,Indiana
2024,Football,Ohio State
2023,Football,Michigan
2022,Football,Georgia
2021,Football,Georgia
2020,Football,Alabama
2019,Football,LSU
2018,Football,Clemson
2017,Football,Alabama
2016,Football,Clemson
2015,Football,Alabama
2014,Football,Ohio State
2013,Football,Florida State
2012,Football,Alabama
2011,Football,Alabama
2010,Football,Auburn
2009,Football,Alabama
2008,Football,Florida
2007,Football,LSU
2006,Football,Florida
2005,Football,Texas
2004,Football,USC
2003,Football,LSU
2002,Football,Ohio State
2001,Football,Miami (FL)
2000,Football,Oklahoma
1999,Football,Florida State
1998,Football,Tennessee
1997,Football,Michigan
1996,Football,Florida
1995,Football,Nebraska
1994,Football,Nebraska
1993,Football,Florida State
1992,Football,Alabama
1991,Football,Washington
1990,Football,Colorado
1989,Football,Miami (FL)
1988,Football,Notre Dame
1987,Football,Miami (FL)
1986,Football,Penn State
1985,Football,Oklahoma
1984,Football,BYU
1983,Football,Miami (FL)
1982,Football,Penn State
1981,Football,Clemson
2026,Men's Basketball,Michigan
2025,Men's Basketball,Florida
2024,Men's Basketball,UConn
2023,Men's Basketball,UConn
2022,Men's Basketball,Kansas
2021,Men's Basketball,Baylor
2019,Men's Basketball,Virginia
2018,Men's Basketball,Villanova
2017,Men's Basketball,North Carolina
2016,Men's Basketball,Villanova
2015,Men's Basketball,Duke
2014,Men's Basketball,UConn
2013,Men's Basketball,Louisville
2012,Men's Basketball,Kentucky
2011,Men's Basketball,UConn
2010,Men's Basketball,Duke
2009,Men's Basketball,North Carolina
2008,Men's Basketball,Kansas
2007,Men's Basketball,Florida
2006,Men's Basketball,Florida
2005,Men's Basketball,North Carolina
2004,Men's Basketball,UConn
2003,Men's Basketball,Syracuse
2002,Men's Basketball,Maryland
2001,Men's Basketball,Duke
2000,Men's Basketball,Michigan State
1999,Men's Basketball,UConn
1998,Men's Basketball,Kentucky
1997,Men's Basketball,Arizona
1996,Men's Basketball,Kentucky
1995,Men's Basketball,UCLA
1994,Men's Basketball,Arkansas
1993,Men's Basketball,North Carolina
1992,Men's Basketball,Duke
1991,Men's Basketball,Duke
1990,Men's Basketball,UNLV
1989,Men's Basketball,Michigan
1988,Men's Basketball,Kansas
1987,Men's Basketball,Indiana
1986,Men's Basketball,Louisville
1985,Men's Basketball,Villanova
1984,Men's Basketball,Georgetown
1983,Men's Basketball,NC State
1982,Men's Basketball,North Carolina
1981,Men's Basketball,Indiana
1980,Men's Basketball,Louisville
1979,Men's Basketball,Michigan State
1978,Men's Basketball,Kentucky
1977,Men's Basketball,Marquette
1976,Men's Basketball,Indiana
1975,Men's Basketball,UCLA
1974,Men's Basketball,NC State
1973,Men's Basketball,UCLA
1972,Men's Basketball,UCLA
1971,Men's Basketball,UCLA
1970,Men's Basketball,UCLA
1969,Men's Basketball,UCLA
1968,Men's Basketball,UCLA
1967,Men's Basketball,UCLA
1966,Men's Basketball,Texas Western
1965,Men's Basketball,UCLA
1964,Men's Basketball,UCLA
1963,Men's Basketball,Loyola Chicago
1962,Men's Basketball,Cincinnati
1961,Men's Basketball,Cincinnati
1960,Men's Basketball,Ohio State
1959,Men's Basketball,California
1958,Men's Basketball,Kentucky
1957,Men's Basketball,North Carolina
1956,Men's Basketball,San Francisco
1955,Men's Basketball,San Francisco
1954,Men's Basketball,La Salle
1953,Men's Basketball,Indiana
1952,Men's Basketball,Kansas
1951,Men's Basketball,Kentucky
1950,Men's Basketball,CCNY
1949,Men's Basketball,Kentucky
1948,Men's Basketball,Kentucky
1947,Men's Basketball,Holy Cross
1946,Men's Basketball,Oklahoma A&M
1945,Men's Basketball,Oklahoma A&M
1944,Men's Basketball,Utah
1943,Men's Basketball,Wyoming
1942,Men's Basketball,Stanford
1941,Men's Basketball,Wisconsin
1940,Men's Basketball,Indiana
1939,Men's Basketball,Oregon
2026,Women's Basketball,UCLA
2025,Women's Basketball,UConn
2024,Women's Basketball,South Carolina
2023,Women's Basketball,LSU
2022,Women's Basketball,South Carolina
2021,Women's Basketball,Stanford
2019,Women's Basketball,Baylor
2018,Women's Basketball,Notre Dame
2017,Women's Basketball,South Carolina
2016,Women's Basketball,UConn
2015,Women's Basketball,UConn
2014,Women's Basketball,UConn
2013,Women's Basketball,UConn
2012,Women's Basketball,Baylor
2011,Women's Basketball,Texas A&M
2010,Women's Basketball,UConn
2009,Women's Basketball,UConn
2008,Women's Basketball,Tennessee
2007,Women's Basketball,Tennessee
2006,Women's Basketball,Maryland
2005,Women's Basketball,Baylor
2004,Women's Basketball,UConn
2003,Women's Basketball,UConn
2002,Women's Basketball,UConn
2001,Women's Basketball,Notre Dame
2000,Women's Basketball,UConn
1999,Women's Basketball,Purdue
1998,Women's Basketball,Tennessee
1997,Women's Basketball,Tennessee
1996,Women's Basketball,Tennessee
1995,Women's Basketball,UConn
1994,Women's Basketball,North Carolina
1993,Women's Basketball,Texas Tech
1992,Women's Basketball,Stanford
